id,mssv, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2, tinhtrang, diachi_tinhtp,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56
10009,2D8479A3XPvAibaEXe8v1/72rbobbdOHOOZiIlda,1996,1, 'Lâm ??ng', MMTT0001, MMT&TT, CQUI,9, D480102,8, 'T?nh Lâm ??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010,C7FB8BCEXPvAibaEXe9iBRrLJjO8dTdpnBoM+zoi,1995,0, 'Hà T?nh', CNTT0001, KTTT, CQUI,9, D480201,3, 'T?nh Hà T?nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,9C27D55DXPvAibaEXe9iBRrLJjO8dRjd7Zs5TV2/,1996,1, 'Qu?ng Ngãi', KTPM0001, CNPM, CLC,9, D480103,5, 'T?nh An Giang',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,1E4A5AC6XPvAibaEXe9iBRrLJjO8dZDYHhYIuFfM,1995,1, 'Bình D??ng', KTPM2014, CNPM, CQUI,9, D480103,3, 'T?nh Bình D??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,815DC6D5XPvAibaEXe9iBRrLJjO8dUXgzuC1uGLg,1996,1, 'Kiên Giang', MMTT2014, MMT&TT, CQUI,9, D480102,3, 'T?nh Kiên Giang',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,4EDD5B5CXPvAibaEXe9iBRrLJjO8dcNMX+7JRk7V,1996,1, 'Bình ??nh', CNTT0001, KTTT, CQUI,9, D480201,3, 'T?nh Bình ??nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,DFCB1C2AXPvAibaEXe9iBRrLJjO8dSVKhn7bco0u,1996,1, 'TP. H? Chí Minh', KTMT2014, KTMT, CQUI,9, D520214,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,2C312957XPvAibaEXe9iBRrLJjO8db8uuGBKOnXN,1996,1, 'Thành ph? H? Chí Minh', KTMT0001, KTMT, CQUI,9, D520214,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,116D8D35XPvAibaEXe9iBRrLJjO8dXJcGXKHn5vw,1996,1, 'TP. H? Chí Minh', ANTT2014, MMT&TT, CQUI,9, D480299,5, 'T?nh Long An',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,1A5D5F18XPvAibaEXe9iBRrLJjO8dQILBANrs/Mw,1996,1, 'Long An', MMTT2014, MMT&TT, CQUI,9, D480102,3, 'T?nh Long An',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,FBF78CCFXPvAibaEXe/GP74oAJxkeDWQPDHBnP8R,1996,1, 'Bình Thu?n', HTTT0001, HTTT, CQUI,9, D480104,8, 'Huy?n Tuy Phong',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,6E64155CXPvAibaEXe/GP74oAJxkeIRq/31oa9ak,1996,1, 'Qu?ng Nam', MMTT2014, MMT&TT, CQUI,9, D480102,3, 'T?nh Qu?ng Nam',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,D01FB3C4XPvAibaEXe/GP74oAJxkeCzeu7IOKesj,1996,1, 'C?n Th?', ANTN2014, MMT&TT, KSTN,9, D480299,5, 'Thành ph? C?n Th?',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,47FBD67DXPvAibaEXe/GP74oAJxkeM9Oi1FSfspn,1995,1, 'B?c Giang', KTMT0001, KTMT, CQUI,9, D520214,5, 'T?nh ??ng Nai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,AD9E064BXPvAibaEXe/GP74oAJxkeAi0ENPwa1up,1996,1, 'Hà N?i', MMTT0001, MMT&TT, CQUI,9, D480102,3, 'Xã H?i Ngh?a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,D00E4BBEXPvAibaEXe/GP74oAJxkeL+4k2T6b+zA,1996,1, 'Ninh Thu?n', KHMT0001, KHMT, CQUI,9, D480101,8, 'Thành ph? Phan Rang -Tháp Chàm',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027,855EBAB6XPvAibaEXe/GP74oAJxkeFK3GK4jlLCA,1996,1, 'Bình ??nh', HTTT0001, HTTT, CQUI,9, D52480104,3, 'T?nh Bình ??nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,E8B314E9XPvAibaEXe/GP74oAJxkeJbsEk9Q36Ww,1996,1, 'Lâm ??ng', KHMT0001, KHMT, CQUI,9, D480101,5, 'T?nh Lâm ??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029,54A70FAAXPvAibaEXe/GP74oAJxkeNZTWPyYVRj2,1995,1, '??ng Nai', KHMT2014, KHMT, CQUI,9, D480101,5, 'Huy?n ??nh Quán',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,39115EE5XPvAibaEXe/5SY0P9d9+eOdlmFFtHNpT,1996,1, 'Thành ph? H? Chí Minh', KTMT2014, KTMT, CQUI,9, D520214,3, 'Qu?n 9',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,590C5A22XPvAibaEXe/5SY0P9d9+eIFjN53F5Ry7,1996,1, 'Phú Yên', CNTT2014, KTTT, CQUI,9, D480201,5, 'T?nh Phú Yên', tr??ng Ti?u h?c An Hòa s? 1, Xã An Hòa, Huy?n Tuy An, T?nh Phú Yên.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,3AEB7AB4XPvAibaEXe/5SY0P9d9+eB+bPw+UtjJt,1996,1, 'Bình Thu?n', TM?T2014, HTTT, CQUI,9, D52480104,5, 'Huy?n B?c Bình',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,2B136363XPvAibaEXe/5SY0P9d9+eAXMEiuURM/0,1996,1, 'Bình ??nh', HTTT2014, HTTT, CQUI,9, D480104,5, 'T?nh Gia Lai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034,C6662E8FXPvAibaEXe/5SY0P9d9+ePHIqV5mYmE7,1996,1, 'Qu?ng Tr?', KTMT0001, KTMT, CQUI,9, D520214,1, 'T?nh Qu?ng Tr?', t?nh Qu?ng Tr?',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035,EA9BD2A7XPvAibaEXe/5SY0P9d9+ePS3OI33kBrB,1996,1, 'TP. H? Chí Minh', KTPM2014, CNPM, CQUI,9, D480103,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037,1C3AD212XPvAibaEXe/5SY0P9d9+eBBhx2Cw35F1,1996,1, 'Thành ph? H? Chí Minh', ANTT2014, MMT&TT, CQUI,9, D480299,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038,D80820A1XPvAibaEXe/5SY0P9d9+eLlBx9nL4U4E,1995,1, 'Bình ??nh', CNTT0001, KTTT, CQUI,9, D480201,5, 'T?nh Bình ??nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,6C74DCBCXPvAibaEXe/5SY0P9d9+ePOjz5kpYB9j,1996,1, 'Ngh? An', KTMT0001, KTMT, CQUI,9, D520214,3, 'T?nh Ngh? An',huy?n Di?n Châu,t?nh Ngh? An ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,A92C7D7EXPvAibaEXe/9XMaU/9dsP3ZMX8Z2sU3/,1996,1, '??ng Nai', KHMT0001, KHMT, CQUI,9, D480101,3, 'T?nh ??ng Nai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041,D8A433FEXPvAibaEXe/9XMaU/9dsP4HOIzNsbFZq,1996,1, 'Kiên Giang', ANTN2014, MMT&TT, KSTN,9, D480299,3, 'T?nh Kiên Giang',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042,431B54F6XPvAibaEXe/9XMaU/9dsPyDQ+jhIZQ1j,1996,1, '?à N?ng', CTTT2014, HTTT, CTTT,9, D480104,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,ACAC3501XPvAibaEXe/9XMaU/9dsP2V7OUutWEGf,1996,1, 'Bình ??nh', KTPM0001, CNPM, CQUI,9, D480103,8, 'Th? tr?n Ngô Mây',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10044,D0E9FFC8XPvAibaEXe/9XMaU/9dsP+5xafFkD3sZ,1996,1, 'Khánh Hòa', KTPM0001, CNPM, CQUI,9, D480103,3, 'Huy?n Diên Khánh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045,0AB2AC8EXPvAibaEXe/9XMaU/9dsP7xXXR4Qke5Q,1996,1, 'Lâm ??ng', CNTT2014, KTTT, CQUI,9, D480201,3, 'T?nh Lâm ??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046,D036AF14XPvAibaEXe/9XMaU/9dsP7W4nlRjh3OM,1996,1, 'V?nh Long', KHMT0001, KHMT, CNTN,9, D480101,3, 'Xa? Qu??i An',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,8D077F26XPvAibaEXe/9XMaU/9dsPw9rujlD3/zi,1996,1, 'Ti?n Giang', HTTT0001, HTTT, CQUI,9, D480104,8, 'T?nh Ti?n Giang',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,B6B6C879XPvAibaEXe/9XMaU/9dsP0YXCCeOvvFr,1996,1, 'TP. H? Chí Minh', MTCL2014, KTMT, CLC,9, D520214,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,3BA2638AXPvAibaEXe80CLygfiFTYIF9lGijqsfM,1996,1, 'Hà T?nh', KTMT0001, KTMT, CQUI,9, D520214,1, 'T?nh Hà T?nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,D8C09AE3XPvAibaEXe80CLygfiFTYAAKf5zXmrfn,1996,1, 'Phú Yên', KTPM2014, CNPM, CQUI,9, D480103,5, 'Thành ph? H? Chí Minh', ' Làm nông ? xã S?n Thành ?ông, huy?n Tây Hòa, t?nh Phú Yên.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,D18B24FAXPvAibaEXe80CLygfiFTYJS78BGflfGo,1996,1, 'Sông Bé', ANTN2014, MMT&TT, KSTN,9, D480299,3, 'T?nh Bình D??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,ED218BC0XPvAibaEXe80CLygfiFTYBh7rOFupLnS,1996,1, 'Ngh? An', MMTT0001, MMT&TT, CQUI,9, D480102,8, 'T?nh Ngh? An',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,51ABA153XPvAibaEXe80CLygfiFTYC0BypVMJWgH,1996,1, 'V?nh Long', HTTT0001, HTTT, CQUI,9, D52480104,3, 'Huy?n Tam Bình', t?nh V?nh Long.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056,1D8411ABXPvAibaEXe80CLygfiFTYGXD+dIICDlA,1996,1, 'Lâm ??ng', HTTT0001, HTTT, CQUI,9, D480104,8, 'T?nh Lâm ??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,6E832832XPvAibaEXe80CLygfiFTYH07DEeZtbIp,1996,1, 'TP. H? Chí Minh', CNTT2014, KTTT, CQUI,9, D480201,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058,9DF18B69XPvAibaEXe80CLygfiFTYHHljkL4Y9Lt,1995,1, 'Bình Thu?n', CTTT2014, HTTT, CTTT,9, D480104,3, 'T?nh Bình Thu?n',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,90EAB7D3XPvAibaEXe80CLygfiFTYEBxkX3zTLqO,1995,1, 'Kiên Giang', MTCL2014, KTMT, CLC,9, D520214,5, 'T?nh Kiên Giang',xã Bình S?n, huy?n Hòn ??t, t?nh Kiên Giang.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,9D14729AXPvAibaEXe8WdGcsQTF3yLZ3B0b1W9X0,1996,1, 'Bà R?a - V?ng Tàu', KTPM0001, CNPM, CQUI,9, D480103,8, 'T?nh Bà R?a - V?ng Tàu',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061,C61628C0XPvAibaEXe8WdGcsQTF3yDxTfC1zIue0,1996,1, 'B?n Tre', KHMT0001, KHMT, CQUI,9, D480101,3, 'T?nh B?n Trê',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,9884C11CXPvAibaEXe8WdGcsQTF3yMswo+0Ve8NQ,1996,1, '??ng Nai', MTCL2014, KTMT, CLC,9, D520214,3, 'T?nh ??ng Nai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10063,812FEF5DXPvAibaEXe8WdGcsQTF3yAkfM+A4rrJk,1996,1, 'Long An', MTCL2014, KTMT, CLC,9, D520214,3, 'T?nh Long An',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,51F5CC70XPvAibaEXe8WdGcsQTF3yJIdZH0CWn7t,1996,1, 'Qu?ng Ngãi', KTPM2014, CNPM, CQUI,9, D480103,5, 'T?nh Qu?ng Ngãi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065,414CD0CDXPvAibaEXe8WdGcsQTF3yIf1jfCxonbD,1996,1, 'Sông Bé', KTPM0001, CNPM, CQUI,9, D480103,3, 'T?nh Bình Ph??c',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066,7075BE69XPvAibaEXe8WdGcsQTF3yHQhmzrDl1Yc,1996,1, 'Tây Ninh', KTMT0001, KTMT, CQUI,9, D520214,1, 'Xã Su?i Dây', Huy?n Tân Châu, Tp. Tây Ninh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067,DC568C24XPvAibaEXe8WdGcsQTF3yCy04j7JaMTM,1996,1, 'Bình ??nh', KHMT2014, KHMT, CQUI,9, D480101,5, 'Xã Sông Ray', TP V?ng Tàu, t?nh Bà R?a V?ng Tàu.', 'Mua bán t?p hoá nh? t?i xã Sông Ray, huy?n C?m M?, t?nh ??ng Nai.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068,2D57A854XPvAibaEXe8WdGcsQTF3yDJk01mdVJzW,1996,1, '??ng Nai', KTPM0001, CNPM, CQUI,9, D480103,5, 'Huy?n ??nh Quán',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069,3B527F18XPvAibaEXe8WdGcsQTF3yDY1AULs3U1x,1996,1, '??k L?k', HTTT0001, HTTT, CQUI,9, D480104,3, 'T?nh ??k L?k',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071,FDCA1F81XPvAibaEXe+xw+0gOjOR0FlMrNx/+TZG,1996,1, 'Qu?ng Ngãi', HTTT2014, HTTT, CQUI,9, D480104,5, 'T?nh Qu?ng Ngãi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,231393B0XPvAibaEXe+xw+0gOjOR0PK5J6OAawo7,1995,1, 'Qu?ng Tr?', KTMT0001, KTMT, CQUI,9, D520214,1, 'T?nh Qu?ng Tr?',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,44A0CC40XPvAibaEXe+xw+0gOjOR0N++o8KbRpYq,1996,0, 'V?nh Long', HTTT0001, HTTT, CQUI,9, D480104,3, 'T?nh Ti?n Giang',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074,AABCA0E0XPvAibaEXe+xw+0gOjOR0BD2ghb/Cj1M,1995,1, 'Thành ph? H? Chí Minh', KTMT0001, KTMT, CQUI,9, D520214,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076,118F3451XPvAibaEXe+xw+0gOjOR0LX1Iih/kDxx,1996,1, 'Trà Vinh', MMTT2014, MMT&TT, CQUI,9, D480102,3, 'T?nh Trà Vinh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077,6E1EC6E3XPvAibaEXe+xw+0gOjOR0ArvNOutmoXN,1996,1, 'Qu?ng Tr?', CNTT2014, KTTT, CQUI,9, D480201,5, 'T?nh Bình Ph??c',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,7F4471C9XPvAibaEXe+xw+0gOjOR0I3+TenBaTT4,1996,0, 'Bà R?a - V?ng Tàu', KTPM0001, CNPM, CQUI,9, D480103,3, 'Huy?n Châu ??c',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,AAF7F152XPvAibaEXe/baiw3K4HkFzl+Wq31fVGa,1996,1, '?à N?ng', MMTT2014, MMT&TT, CQUI,9, D480102,5, 'Thành ph? ?à N?ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082,F71855D2XPvAibaEXe/baiw3K4HkF6wI5F6w6e/1,1996,0, 'Lâm ??ng', HTTT2014, HTTT, CQUI,9, D480104,3, 'T?nh Lâm ??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083,364C01E5XPvAibaEXe/baiw3K4HkF0B1jHz/g2mU,1996,1, 'TP. H? Chí Minh', KHMT2014, KHMT, CQUI,9, D480101,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084,C652408CXPvAibaEXe/baiw3K4HkF5HM+yiC7grI,1996,1, 'Kiên Giang', KTPM0001, CNPM, CQUI,9, D480103,8, 'Huy?n Kiên L??ng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085,BEF962A2XPvAibaEXe/baiw3K4HkF+t6hSvKbPBr,1996,1, 'TP. H? Chí Minh', KHMT0001, KHMT, CNTN,9, D480101,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087,04B8CFCFXPvAibaEXe/baiw3K4HkF2jQGbVW7zgO,1996,1, 'Thành ph? H? Chí Minh', KTMT0001, KTMT, CQUI,9, D520214,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088,FE367B70XPvAibaEXe/baiw3K4HkF29v5WC6Y3t+,1996,1, 'Bình ??nh', HTTT0001, HTTT, CQUI,9, D480104,4, 'T?nh Bình ??nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089,61ED53DFXPvAibaEXe/baiw3K4HkFxzsFQRZdGJ5,1996,1, 'Gia Lai', KHMT2014, KHMT, CQUI,9, D480101,5, 'T?nh Gia Lai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092,A675C95CXPvAibaEXe8dZIB3odxynjCdWLhxMdlo,1996,1, 'Bà R?a - V?ng Tàu', MMTT0001, MMT&TT, CQUI,9, D480102,3, 'T?nh Bà R?a - V?ng Tàu',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093,A647BF17XPvAibaEXe8dZIB3odxynqhPa7jxOJZV,1996,1, 'Ninh Thu?n', MMTT2014, MMT&TT, CQUI,9, D480102,5, 'T?nh Ninh Thu?n',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094,A3432242XPvAibaEXe8dZIB3odxynvRsIZuhEiHG,1996,1, 'Thanh Hoá', KTMT2014, KTMT, CQUI,9, D520214,3, 'T?nh ??ng Nai', ?p Long ??c 1, xã Tam Ph??c, Tp Biên Hòa, t?nh ??ng Nai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096,1A57D711XPvAibaEXe8dZIB3odxynish6zKkFVzW,1996,1, 'TP. H? Chí Minh', KTMT2014, KTMT, CQUI,9, D520214,5, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097,29C09889XPvAibaEXe8dZIB3odxynhtkSv0G/qxR,1996,1, '??k L?k', KTMT0001, KTMT, CQUI,9, D520214,1, 'T?nh ??k L?k',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099,162B997EXPvAibaEXe8dZIB3odxynvLl7gPAdm0t,1996,1, 'TP. H? Chí Minh', MTCL2014, KTMT, CLC,9, D520214,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,3B369BE8XPvAibaEXe/9n4RXguPAYMnCmbENlty2,1996,1, 'Khánh Hòa', KTPM0001, CNPM, CLC,9, D480103,1, 'T?nh Khánh Hòa',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,E41882FEXPvAibaEXe/9n4RXguPAYEAxQQmOAAZG,1996,1, 'Qu?ng Ngãi', KHMT2014, KHMT, CQUI,9, D480101,5, 'T?nh Qu?ng Ngãi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,0A8C9A4BXPvAibaEXe/9n4RXguPAYPQDYpD5T/PA,1996,1, 'Thành ph? H? Chí Minh', HTTT0001, HTTT, CLC,9, D480104,3, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,CF73DD3CXPvAibaEXe/9n4RXguPAYNhPkL6cwTol,1996,1, '??ng Tháp', KTPM2014, CNPM, CQUI,9, D480103,3, 'T?nh ??ng Tháp',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,5744B505XPvAibaEXe/9n4RXguPAYLy1ULuVcNNN,1996,1, 'Bà R?a - V?ng Tàu', KTMT0001, KTMT, CQUI,9, D520214,3, 'Huy?n Xuyên M?c', Bà R?a-V?ng Tàu',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,496BA332XPvAibaEXe/9n4RXguPAYPE1qUnKCdpJ,1996,1, 'Th?a Thiên Hu?', MMTT2014, MMT&TT, CQUI,9, D480102,5, 'T?nh Th?a Thiên Hu?',Phú Vang,TT Hu?',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,A02C92D9XPvAibaEXe/9n4RXguPAYASjIqcBPLH1,1996,1, 'Gia Lai', CNTT0001, KTTT, CQUI,9, D480201,5, 'T?nh ??ng Nai',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,885D43C3XPvAibaEXe/9n4RXguPAYPCdAJhH+UNK,1996,1, 'Qu?ng Tr?', KTPM0001, CNPM, CQUI,9, D480103,3, 'T?nh Qu?ng Tr?',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,B6496AD5XPvAibaEXe/9n4RXguPAYJnEBVwvE4Wm,1996,1, 'Hà T?nh', HTTT0001, HTTT, CQUI,9, D480104,8, 'T?nh Hà T?nh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,6988D28AXPvAibaEXe9MSDlNDFbYdo3rYOhSopw2,1996,1, 'Thành ph? H? Chí Minh', KTPM0001, CNPM, CQUI,9, D480103,8, 'Thành ph? H? Chí Minh',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
